Group,Code,Name,Inputs,Description,Included
Momentum Indicators,CMO,Chande Momentum Oscillator,"close, period=14",Net momentum from sum of gains vs losses (-100 to 100).,
Momentum Indicators,MOM,Momentum,"close, period=10",Price minus price N bars ago (absolute change).,
Momentum Indicators,ROC,Rate of Change,"close, period=10",Percentage change over N bars: (c/cN - 1) * 100.,
Momentum Indicators,ROCP,Rate of Change Percentage,"close, period=10",Fractional change over N bars: (c - cN)/cN.,
Momentum Indicators,ROCR,Rate of Change Ratio,"close, period=10",Price ratio over N bars: c/cN.,
Momentum Indicators,ROCR100,Rate of Change Ratio (100 scale),"close, period=10",Price ratio over N bars times 100: (c/cN)*100.,
Momentum Indicators,TRIX,1-day ROC of Triple Smooth EMA,"close, period=30",Rate of change of a triple-smoothed EMA; oscillates around zero.,
Momentum Indicators,PPO,Percentage Price Oscillator,"close, fast=12, slow=26, matype",MACD expressed as a percentage of the slow MA.,
Momentum Indicators,APO,Absolute Price Oscillator,"close, fast=12, slow=26, matype",Absolute difference between a fast and slow MA.,
Momentum Indicators,ADXR,Average Directional Movement Index Rating,"high, low, close, period=14",Smoothed ADX: average of ADX now and N bars ago.,
Momentum Indicators,PLUS_DI,Plus Directional Indicator,"high, low, close, period=14",Strength of upward directional movement (+DI).,
Momentum Indicators,MINUS_DI,Minus Directional Indicator,"high, low, close, period=14",Strength of downward directional movement (-DI).,
Momentum Indicators,PLUS_DM,Plus Directional Movement,"high, low, period=14",Raw upward directional movement (+DM).,
Momentum Indicators,MINUS_DM,Minus Directional Movement,"high, low, period=14",Raw downward directional movement (-DM).,
Momentum Indicators,AROON,Aroon,"high, low, period=14",Aroon up/down: how recently the highest high / lowest low occurred.,
Momentum Indicators,AROONOSC,Aroon Oscillator,"high, low, period=14",Aroon up minus Aroon down (-100 to 100).,
Momentum Indicators,MFI,Money Flow Index,"high, low, close, volume, period=14",Volume-weighted RSI of money flow (0-100).,
Momentum Indicators,BOP,Balance Of Power,"open, high, low, close",(close-open)/(high-low): buying vs selling pressure per bar.,
Momentum Indicators,ULTOSC,Ultimate Oscillator,"high, low, close, p1=7, p2=14, p3=28",Weighted momentum blended across three timeframes (0-100).,
Volume Indicators,OBV,On Balance Volume,"close, volume",Running volume total added on up bars and subtracted on down bars.,
Volume Indicators,AD,Chaikin A/D Line,"high, low, close, volume",Cumulative accumulation/distribution money-flow volume.,
Volume Indicators,ADOSC,Chaikin A/D Oscillator,"high, low, close, volume, fast=3, slow=10",Difference of fast and slow EMAs of the A/D line.,
Price Transform,AVGPRICE,Average Price,"open, high, low, close",(open + high + low + close) / 4.,
Price Transform,MEDPRICE,Median Price,"high, low",(high + low) / 2.,
Price Transform,TYPPRICE,Typical Price,"high, low, close",(high + low + close) / 3.,
Price Transform,WCLPRICE,Weighted Close Price,"high, low, close",(high + low + 2*close) / 4.,
Statistic Functions,STDDEV,Standard Deviation,"close, period=5, nbdev=1",Rolling standard deviation over the window.,
Statistic Functions,VAR,Variance,"close, period=5, nbdev=1",Rolling variance over the window.,
Statistic Functions,BETA,Beta,"series0, series1, period=5",Slope of one series' returns against another (volatility beta).,
Statistic Functions,CORREL,Pearson's Correlation Coefficient (r),"series0, series1, period=30",Rolling Pearson correlation between two series.,
Statistic Functions,LINEARREG,Linear Regression,"close, period=14",Endpoint value of the rolling linear-regression line.,
Statistic Functions,LINEARREG_SLOPE,Linear Regression Slope,"close, period=14",Slope of the rolling regression line.,
Statistic Functions,LINEARREG_ANGLE,Linear Regression Angle,"close, period=14",Angle in degrees of the rolling regression line.,
Statistic Functions,LINEARREG_INTERCEPT,Linear Regression Intercept,"close, period=14",Intercept of the rolling regression line.,
Statistic Functions,TSF,Time Series Forecast,"close, period=14",Linear-regression forecast (extrapolated endpoint) value.,
Cycle Indicators,HT_DCPERIOD,Hilbert Transform - Dominant Cycle Period,close,Estimated length of the dominant price cycle.,
Cycle Indicators,HT_DCPHASE,Hilbert Transform - Dominant Cycle Phase,close,Phase angle of the dominant price cycle.,
Cycle Indicators,HT_PHASOR,Hilbert Transform - Phasor Components,close,In-phase and quadrature components of the cycle.,
Cycle Indicators,HT_SINE,Hilbert Transform - SineWave,close,Sine and lead-sine waves marking cycle turning points.,
Cycle Indicators,HT_TRENDMODE,Hilbert Transform - Trend vs Cycle Mode,close,Flags whether the market is trending (1) or cycling (0).,
Math Operators,MIN,Lowest value over period,"close, period=30",Rolling minimum over the window.,
Math Operators,MAX,Highest value over period,"close, period=30",Rolling maximum over the window.,
Math Operators,MININDEX,Index of lowest value over period,"close, period=30",Bar index/offset of the rolling minimum.,
Math Operators,MAXINDEX,Index of highest value over period,"close, period=30",Bar index/offset of the rolling maximum.,
Math Operators,MINMAX,Lowest and highest values over period,"close, period=30",Rolling minimum and maximum together.,
Math Operators,MINMAXINDEX,Indexes of lowest and highest values,"close, period=30",Indexes of the rolling minimum and maximum.,
Math Operators,SUM,Summation over period,"close, period=30",Rolling sum over the window.,
Math Operators,ADD,Vector Arithmetic Add,"series0, series1",Element-wise addition of two series.,
Math Operators,SUB,Vector Arithmetic Subtraction,"series0, series1",Element-wise subtraction of two series.,
Math Operators,MULT,Vector Arithmetic Multiply,"series0, series1",Element-wise multiplication of two series.,
Math Operators,DIV,Vector Arithmetic Divide,"series0, series1",Element-wise division of two series.,
Math Transform,ACOS,Vector Trigonometric ACos,close,Element-wise arccosine.,
Math Transform,ASIN,Vector Trigonometric ASin,close,Element-wise arcsine.,
Math Transform,ATAN,Vector Trigonometric ATan,close,Element-wise arctangent.,
Math Transform,COS,Vector Trigonometric Cos,close,Element-wise cosine.,
Math Transform,SIN,Vector Trigonometric Sin,close,Element-wise sine.,
Math Transform,TAN,Vector Trigonometric Tan,close,Element-wise tangent.,
Math Transform,COSH,Vector Hyperbolic Cos,close,Element-wise hyperbolic cosine.,
Math Transform,SINH,Vector Hyperbolic Sin,close,Element-wise hyperbolic sine.,
Math Transform,TANH,Vector Hyperbolic Tan,close,Element-wise hyperbolic tangent.,
Math Transform,CEIL,Vector Ceil,close,Round each value up to the nearest integer.,
Math Transform,FLOOR,Vector Floor,close,Round each value down to the nearest integer.,
Math Transform,EXP,Vector Arithmetic Exp,close,Element-wise e^x.,
Math Transform,LN,Vector Log Natural,close,Element-wise natural logarithm.,
Math Transform,LOG10,Vector Log10,close,Element-wise base-10 logarithm.,
Math Transform,SQRT,Vector Square Root,close,Element-wise square root.,
Pattern Recognition,CDL2CROWS,Two Crows,"open, high, low, close",Bearish reversal: two black candles after an up gap.,
Pattern Recognition,CDL3BLACKCROWS,Three Black Crows,"open, high, low, close",Bearish reversal: three long declining black candles.,
Pattern Recognition,CDL3INSIDE,Three Inside Up/Down,"open, high, low, close",Harami confirmed by a third candle in the reversal direction.,
Pattern Recognition,CDL3LINESTRIKE,Three-Line Strike,"open, high, low, close",Three trend candles reversed by a fourth engulfing candle.,
Pattern Recognition,CDL3OUTSIDE,Three Outside Up/Down,"open, high, low, close",Engulfing pattern confirmed by a third candle.,
Pattern Recognition,CDL3STARSINSOUTH,Three Stars In The South,"open, high, low, close",Rare bullish reversal of three shrinking candles.,
Pattern Recognition,CDL3WHITESOLDIERS,Three Advancing White Soldiers,"open, high, low, close",Bullish reversal: three long rising white candles.,
Pattern Recognition,CDLABANDONEDBABY,Abandoned Baby,"open, high, low, close",Reversal with a gapped doji isolating a star candle.,
Pattern Recognition,CDLADVANCEBLOCK,Advance Block,"open, high, low, close",Bearish: three rising candles with weakening bodies.,
Pattern Recognition,CDLBELTHOLD,Belt-hold,"open, high, low, close",Single long candle opening at its extreme with no shadow that side.,
Pattern Recognition,CDLBREAKAWAY,Breakaway,"open, high, low, close",Five-candle pattern breaking away from the prevailing trend.,
Pattern Recognition,CDLCLOSINGMARUBOZU,Closing Marubozu,"open, high, low, close",Candle with no shadow on its closing end.,
Pattern Recognition,CDLCONCEALBABYSWALL,Concealing Baby Swallow,"open, high, low, close",Rare bullish reversal made of four black candles.,
Pattern Recognition,CDLCOUNTERATTACK,Counterattack,"open, high, low, close",Opposite-color candles closing at the same level.,
Pattern Recognition,CDLDARKCLOUDCOVER,Dark Cloud Cover,"open, high, low, close",Bearish reversal: black candle closing into the prior white body.,
Pattern Recognition,CDLDOJI,Doji,"open, high, low, close",Open and close nearly equal; market indecision.,
Pattern Recognition,CDLDOJISTAR,Doji Star,"open, high, low, close",Doji gapping away from the prior body; possible reversal.,
Pattern Recognition,CDLDRAGONFLYDOJI,Dragonfly Doji,"open, high, low, close",Doji with a long lower shadow; bullish hint.,
Pattern Recognition,CDLENGULFING,Engulfing Pattern,"open, high, low, close",Candle whose body fully engulfs the previous candle's body.,
Pattern Recognition,CDLEVENINGDOJISTAR,Evening Doji Star,"open, high, low, close",Bearish top reversal with a doji as the star.,
Pattern Recognition,CDLEVENINGSTAR,Evening Star,"open, high, low, close",Bearish three-candle top reversal.,
Pattern Recognition,CDLGAPSIDESIDEWHITE,Up/Down-gap side-by-side white lines,"open, high, low, close",Continuation with twin gapped white candles.,
Pattern Recognition,CDLGRAVESTONEDOJI,Gravestone Doji,"open, high, low, close",Doji with a long upper shadow; bearish hint.,
Pattern Recognition,CDLHAMMER,Hammer,"open, high, low, close",Bullish reversal: small body with a long lower shadow at a bottom.,
Pattern Recognition,CDLHANGINGMAN,Hanging Man,"open, high, low, close",Bearish reversal: hammer shape appearing at a top.,
Pattern Recognition,CDLHARAMI,Harami,"open, high, low, close",Small body contained within the prior large body.,
Pattern Recognition,CDLHARAMICROSS,Harami Cross,"open, high, low, close",Harami where the second candle is a doji.,
Pattern Recognition,CDLHIGHWAVE,High-Wave Candle,"open, high, low, close",Long shadows with a small body; high-volatility indecision.,
Pattern Recognition,CDLHIKKAKE,Hikkake Pattern,"open, high, low, close",Inside-bar false-breakout trap.,
Pattern Recognition,CDLHIKKAKEMOD,Modified Hikkake Pattern,"open, high, low, close",Hikkake variant with stricter context confirmation.,
Pattern Recognition,CDLHOMINGPIGEON,Homing Pigeon,"open, high, low, close",Bullish harami-like two-candle reversal.,
Pattern Recognition,CDLIDENTICAL3CROWS,Identical Three Crows,"open, high, low, close",Bearish: three black candles each opening at the prior close.,
Pattern Recognition,CDLINNECK,In-Neck Pattern,"open, high, low, close",Bearish continuation; close just into the prior body.,
Pattern Recognition,CDLINVERTEDHAMMER,Inverted Hammer,"open, high, low, close",Bullish reversal with a long upper shadow at a bottom.,
Pattern Recognition,CDLKICKING,Kicking,"open, high, low, close",Strong reversal between two opposite marubozu separated by a gap.,
Pattern Recognition,CDLKICKINGBYLENGTH,Kicking - by Length,"open, high, low, close",Kicking pattern with direction decided by the longer marubozu.,
Pattern Recognition,CDLLADDERBOTTOM,Ladder Bottom,"open, high, low, close",Bullish reversal after five declining candles.,
Pattern Recognition,CDLLONGLEGGEDDOJI,Long Legged Doji,"open, high, low, close",Doji with long upper and lower shadows.,
Pattern Recognition,CDLLONGLINE,Long Line Candle,"open, high, low, close",A single long-bodied candle.,
Pattern Recognition,CDLMARUBOZU,Marubozu,"open, high, low, close",Candle with no shadows at all.,
Pattern Recognition,CDLMATCHINGLOW,Matching Low,"open, high, low, close",Two candles with identical lows; bullish support.,
Pattern Recognition,CDLMATHOLD,Mat Hold,"open, high, low, close",Bullish continuation after a shallow pullback.,
Pattern Recognition,CDLMORNINGDOJISTAR,Morning Doji Star,"open, high, low, close",Bullish bottom reversal with a doji as the star.,
Pattern Recognition,CDLMORNINGSTAR,Morning Star,"open, high, low, close",Bullish three-candle bottom reversal.,
Pattern Recognition,CDLONNECK,On-Neck Pattern,"open, high, low, close",Bearish continuation; close at the prior low.,
Pattern Recognition,CDLPIERCING,Piercing Pattern,"open, high, low, close",Bullish reversal closing above the prior candle's midpoint.,
Pattern Recognition,CDLRICKSHAWMAN,Rickshaw Man,"open, high, low, close",Long-legged doji with the body near the center.,
Pattern Recognition,CDLRISEFALL3METHODS,Rising/Falling Three Methods,"open, high, low, close",Continuation with three small counter-trend candles inside the trend.,
Pattern Recognition,CDLSEPARATINGLINES,Separating Lines,"open, high, low, close",Continuation; candle opens at the prior open in trend direction.,
Pattern Recognition,CDLSHOOTINGSTAR,Shooting Star,"open, high, low, close",Bearish reversal with a long upper shadow at a top.,
Pattern Recognition,CDLSHORTLINE,Short Line Candle,"open, high, low, close",A single short-bodied candle.,
Pattern Recognition,CDLSPINNINGTOP,Spinning Top,"open, high, low, close",Small body with shadows on both sides; indecision.,
Pattern Recognition,CDLSTALLEDPATTERN,Stalled Pattern,"open, high, low, close",Bearish: rally losing momentum on the third candle.,
Pattern Recognition,CDLSTICKSANDWICH,Stick Sandwich,"open, high, low, close",Bullish: two equal closes trapping an opposite candle.,
Pattern Recognition,CDLTAKURI,Takuri,"open, high, low, close",Dragonfly doji with an unusually long lower shadow.,
Pattern Recognition,CDLTASUKIGAP,Tasuki Gap,"open, high, low, close",Continuation that only partially fills a prior gap.,
Pattern Recognition,CDLTHRUSTING,Thrusting Pattern,"open, high, low, close",Bearish continuation; close into the lower half of the prior body.,
Pattern Recognition,CDLTRISTAR,Tristar Pattern,"open, high, low, close",Three dojis forming a reversal.,
Pattern Recognition,CDLUNIQUE3RIVER,Unique 3 River,"open, high, low, close",Rare bullish reversal bottom.,
Pattern Recognition,CDLUPSIDEGAP2CROWS,Upside Gap Two Crows,"open, high, low, close",Bearish: two black candles following an up gap.,
Pattern Recognition,CDLXSIDEGAP3METHODS,Up/Down-gap Three Methods,"open, high, low, close",Continuation filling a gap over three candles.,
